Path,Stroke,Event frame,Sequence frame,Player_1 keypoints,Player_2 keypoints
videos/game_1.mp4,LF,58,2295,"[[361.8901062011719, 334.7154541015625], [366.1996765136719, 324.640625], [350.3979187011719, 321.7620849609375], [363.32659912109375, 330.3976745605469], [318.7944030761719, 327.5191345214844], [356.1440124511719, 377.8932189941406], [275.69866943359375, 373.575439453125], [363.32659912109375, 448.41693115234375], [269.95257568359375, 452.7347412109375], [397.8031921386719, 474.32366943359375], [336.03265380859375, 441.2206726074219], [323.10394287109375, 501.6695861816406], [264.20648193359375, 495.9125061035156], [393.49365234375, 588.025146484375], [264.20648193359375, 606.7355346679688], [399.23968505859375, 672.9414672851562], [225.4203338623047, 731.9511108398438]]","[[1616.0379638671875, 481.652587890625], [1621.7947998046875, 467.2731628417969], [1621.7947998046875, 465.8351745605469], [1646.2623291015625, 480.2146301269531], [1703.8323974609375, 483.0905456542969], [1582.9349365234375, 550.6738891601562], [1748.449462890625, 593.8121948242188], [1476.4300537109375, 619.6951904296875], [1775.795166015625, 724.6651611328125], [1473.551513671875, 678.6509399414062], [1875.103759765625, 769.241455078125], [1613.1593017578125, 829.6350708007812], [1705.271728515625, 818.1314697265625], [1490.8226318359375, 980.619140625], [1690.879150390625, 874.2113647460938], [1703.8323974609375, 943.232666015625], [1703.8323974609375, 941.794677734375]]"
videos/game_1.mp4,LF,58,2296,"[[359.4736328125, 332.6751403808594], [363.7896728515625, 324.0520324707031], [347.9642028808594, 322.6148376464844], [359.4736328125, 329.80078125], [316.3132019042969, 324.0520324707031], [355.1575927734375, 377.2279968261719], [276.0301513671875, 370.04205322265625], [359.4736328125, 449.08740234375], [268.83673095703125, 456.2733459472656], [389.68597412109375, 466.3336486816406], [333.577392578125, 441.90142822265625], [320.6292724609375, 499.38897705078125], [261.6433410644531, 497.9517822265625], [391.1246643066406, 588.49462890625], [260.20465087890625, 607.1781005859375], [395.4406433105469, 673.2887573242188], [217.04421997070312, 732.2134399414062]]","[[1614.989990234375, 480.8795166015625], [1619.306396484375, 466.49981689453125], [1620.7451171875, 466.49981689453125], [1639.449462890625, 479.4415283203125], [1702.7559814453125, 483.7554626464844], [1583.336669921875, 551.3400268554688], [1745.91943359375, 594.4791259765625], [1479.7440185546875, 623.238525390625], [1770.37890625, 726.7723388671875], [1472.5501708984375, 667.8156127929688], [1865.3387451171875, 761.2835693359375], [1609.23486328125, 833.1820678710938], [1704.1947021484375, 820.2403564453125], [1485.499267578125, 979.85498046875], [1695.5621337890625, 879.1971435546875], [1702.7559814453125, 941.0298461914062], [1704.1947021484375, 941.0298461914062]]"
videos/game_1.mp4,LF,58,2297,"[[357.3296813964844, 333.71197509765625], [360.2054443359375, 322.2027282714844], [347.2646179199219, 322.2027282714844], [363.0811767578125, 327.95733642578125], [314.1936950683594, 325.0800476074219], [350.140380859375, 376.8716735839844], [272.4955139160156, 369.67840576171875], [345.8267822265625, 457.4364318847656], [269.6197814941406, 455.997802734375], [378.8976745605469, 460.3137512207031], [334.3238220214844, 441.6112060546875], [317.0694274902344, 503.4734802246094], [259.5547180175781, 503.4734802246094], [387.52490234375, 588.3541870117188], [256.6789855957031, 607.0567626953125], [404.7793273925781, 676.1123046875], [210.667236328125, 727.9039306640625]]","[[1612.59228515625, 481.05938720703125], [1616.9012451171875, 466.668701171875], [1618.3375244140625, 466.668701171875], [1635.5733642578125, 478.1812744140625], [1701.6439208984375, 486.815673828125], [1580.9932861328125, 550.134765625], [1743.2969970703125, 594.7459716796875], [1484.7601318359375, 632.1618041992188], [1766.278076171875, 731.4577026367188], [1468.960693359375, 686.8465576171875], [1853.8935546875, 755.9219970703125], [1608.2833251953125, 840.8271484375], [1703.0802001953125, 824.997314453125], [1483.3238525390625, 981.8560791015625], [1694.4622802734375, 876.803955078125], [1701.6439208984375, 937.2449340820312], [1708.825439453125, 943.0011596679688]]"
videos/game_1.mp4,LF,58,2298,"[[355.28387451171875, 333.582275390625], [359.5830383300781, 323.5094299316406], [345.2524719238281, 323.5094299316406], [356.7169189453125, 326.38739013671875], [312.292236328125, 324.94842529296875], [345.2524719238281, 379.6294250488281], [267.8675537109375, 370.9955749511719], [345.2524719238281, 461.6509704589844], [269.30059814453125, 453.0171203613281], [378.21270751953125, 467.4068908691406], [336.6541442871094, 441.5053405761719], [313.7253112792969, 503.3812561035156], [256.40313720703125, 499.0643310546875], [382.51190185546875, 586.841796875], [253.53701782226562, 606.9874267578125], [396.8424377441406, 673.1802368164062], [203.380126953125, 726.4223022460938]]","[[1614.19384765625, 483.38739013671875], [1614.19384765625, 466.1369934082031], [1615.631103515625, 463.2619323730469], [1631.4398193359375, 476.1997375488281], [1698.9866943359375, 484.8249206542969], [1582.5762939453125, 553.8264770507812], [1737.7900390625, 595.514892578125], [1496.3465576171875, 638.6409301757812], [1760.78466796875, 730.6429443359375], [1467.603271484375, 681.7669067382812], [1839.82861328125, 740.7057495117188], [1608.4453125, 844.2081298828125], [1704.7352294921875, 824.0825805664062], [1480.5377197265625, 983.648681640625], [1696.1123046875, 878.7088623046875], [1704.7352294921875, 941.9602661132812], [1706.1724853515625, 940.522705078125]]"
videos/game_1.mp4,LF,58,2299,"[[352.94097900390625, 332.1063537597656], [355.8168029785156, 322.05377197265625], [342.8755798339844, 322.05377197265625], [355.8168029785156, 326.36199951171875], [311.2415466308594, 324.9259338378906], [344.3135070800781, 376.6249084472656], [268.104248046875, 370.880615234375], [342.8755798339844, 455.6094665527344], [268.104248046875, 454.1734313964844], [363.00634765625, 459.91778564453125], [331.372314453125, 444.120849609375], [311.2415466308594, 501.5641174316406], [256.6009521484375, 501.5641174316406], [383.1370849609375, 592.037353515625], [249.41139221191406, 609.2703857421875], [397.5162048339844, 675.3302612304688], [196.20870971679688, 725.5931396484375]]","[[1611.58251953125, 480.8791198730469], [1611.58251953125, 463.6317138671875], [1613.02197265625, 463.6317138671875], [1627.4171142578125, 473.69268798828125], [1699.393310546875, 486.6282653808594], [1579.9130859375, 555.6178588867188], [1731.062744140625, 592.9872436523438], [1505.0579833984375, 650.4786376953125], [1748.3369140625, 729.5292358398438], [1463.3118896484375, 687.8480224609375], [1815.994384765625, 729.5292358398438], [1607.263916015625, 845.94921875], [1700.832763671875, 825.8272094726562], [1479.1466064453125, 986.8031005859375], [1699.393310546875, 880.4440307617188], [1699.393310546875, 932.186279296875], [1700.832763671875, 932.186279296875]]"
videos/game_1.mp4,LF,58,2300,"[[351.4564208984375, 333.1856384277344], [354.3263854980469, 323.1117248535156], [341.41162109375, 321.672607421875], [352.8913879394531, 327.4291076660156], [308.4071960449219, 324.5508728027344], [339.97662353515625, 376.3595275878906], [263.92303466796875, 370.6029968261719], [335.6717224121094, 455.5116271972656], [265.3580322265625, 454.072509765625], [360.0662841796875, 462.70733642578125], [328.4968566894531, 445.437744140625], [309.8421936035156, 501.56378173828125], [252.4432830810547, 501.56378173828125], [378.72088623046875, 590.7898559570312], [243.8334197998047, 610.9376831054688], [395.94061279296875, 674.2593994140625], [189.304443359375, 723.1898193359375]]","[[1610.525146484375, 475.98724365234375], [1611.962646484375, 457.2796936035156], [1616.2755126953125, 455.8406677246094], [1617.7130126953125, 470.2310791015625], [1698.2181396484375, 488.9385986328125], [1578.8980712890625, 562.3297729492188], [1725.5323486328125, 596.8667602539062], [1511.3311767578125, 668.81884765625], [1728.407470703125, 729.2586669921875], [1462.4532470703125, 693.2825927734375], [1787.3486328125, 709.112060546875], [1609.08740234375, 848.6991577148438], [1703.968505859375, 817.0402221679688], [1476.8289794921875, 983.9691772460938], [1702.5308837890625, 884.6752319335938], [1676.6541748046875, 909.138916015625], [1711.1563720703125, 946.5540161132812]]"
videos/game_1.mp4,LF,58,2301,"[[349.1893005371094, 331.08154296875], [353.5064697265625, 322.4620056152344], [337.6769104003906, 321.02545166015625], [350.6283264160156, 326.77178955078125], [306.017822265625, 322.4620056152344], [337.6769104003906, 369.8692626953125], [264.285400390625, 368.43267822265625], [333.3597412109375, 431.642333984375], [265.7244567871094, 456.0642395019531], [357.8235778808594, 470.43011474609375], [329.0426330566406, 444.57159423828125], [304.57879638671875, 499.1617431640625], [248.45587158203125, 500.5982971191406], [372.2140808105469, 586.7933349609375], [239.8215789794922, 609.7786865234375], [388.04364013671875, 671.5516967773438], [183.6986846923828, 723.2686767578125]]","[[1607.89404296875, 474.4571228027344], [1613.6368408203125, 458.63592529296875], [1616.50830078125, 457.1976318359375], [1616.50830078125, 471.5805358886719], [1696.907470703125, 491.7166442871094], [1583.487060546875, 566.5078125], [1721.314453125, 595.2736206054688], [1520.3162841796875, 683.009521484375], [1715.5716552734375, 720.405029296875], [1472.9381103515625, 694.5158081054688], [1761.51416015625, 697.392333984375], [1617.944091796875, 842.6598510742188], [1705.521728515625, 816.7705688476562], [1475.8094482421875, 986.4890747070312], [1691.1646728515625, 865.672607421875], [1683.986328125, 913.1361694335938], [1708.393310546875, 937.587158203125]]"
videos/game_1.mp4,LF,58,2302,"[[346.9615478515625, 332.0610046386719], [349.83367919921875, 321.9925537109375], [335.4730529785156, 319.1158447265625], [346.9615478515625, 326.3076171875], [302.4435119628906, 321.9925537109375], [334.0369567871094, 370.8965148925781], [260.79766845703125, 369.45819091796875], [331.1648254394531, 432.74566650390625], [262.23370361328125, 454.3209533691406], [354.1418762207031, 475.8962097167969], [328.2926940917969, 445.6908264160156], [302.4435119628906, 500.34820556640625], [245.0009307861328, 500.34820556640625], [368.5025329589844, 585.2109375], [237.8206024169922, 611.101318359375], [385.7352600097656, 671.5120849609375], [177.50587463378906, 724.7311401367188]]","[[1605.77099609375, 470.55206298828125], [1610.074951171875, 457.5957336425781], [1615.8135986328125, 456.1561279296875], [1617.2481689453125, 469.1124572753906], [1696.1536865234375, 490.7063293457031], [1591.424560546875, 569.8837890625], [1713.3695068359375, 588.5985107421875], [1535.4732666015625, 693.6886596679688], [1743.4971923828125, 649.061279296875], [1482.3914794921875, 696.5678100585938], [1720.5428466796875, 627.4674682617188], [1621.5521240234375, 846.2852172851562], [1704.7615966796875, 823.2518310546875], [1472.348876953125, 987.3650512695312], [1674.6341552734375, 863.560302734375], [1691.849853515625, 915.3856201171875], [1714.80419921875, 942.73779296875]]"
videos/game_1.mp4,LF,58,2303,"[[345.4046936035156, 331.1835632324219], [346.840087890625, 321.1141662597656], [333.9214782714844, 318.2372131347656], [343.96929931640625, 323.99114990234375], [299.4718322753906, 322.5526428222656], [332.486083984375, 370.0226135253906], [257.84515380859375, 370.0226135253906], [328.1799011230469, 431.87750244140625], [260.7159729003906, 453.4547424316406], [348.2755432128906, 464.9626159667969], [325.3090515136719, 446.2623291015625], [299.4718322753906, 499.48626708984375], [242.0557403564453, 500.9247131347656], [364.06494140625, 584.3568115234375], [233.4433135986328, 610.2495727539062], [391.33758544921875, 670.6658935546875], [174.59182739257812, 723.8898315429688]]","[[1597.5950927734375, 488.5848083496094], [1604.7813720703125, 467.0129699707031], [1630.65234375, 429.621826171875], [1609.0933837890625, 475.6417236328125], [1693.892333984375, 492.899169921875], [1597.5950927734375, 577.748291015625], [1705.3905029296875, 593.567626953125], [1554.4769287109375, 705.7410888671875], [1659.3978271484375, 672.664306640625], [1482.613525390625, 697.1123657226562], [1626.340576171875, 548.9859008789062], [1620.5914306640625, 855.3057250976562], [1693.892333984375, 830.8576049804688], [1471.1153564453125, 986.1746826171875], [1682.3941650390625, 865.37255859375], [1715.451416015625, 947.345458984375], [1714.0140380859375, 938.7167358398438]]"
videos/game_1.mp4,LF,58,2304,"[[342.31231689453125, 328.7681579589844], [346.61810302734375, 318.7010498046875], [332.2655334472656, 318.7010498046875], [346.61810302734375, 324.45367431640625], [297.8193359375, 320.1391906738281], [329.39501953125, 373.35113525390625], [257.6321105957031, 370.4748229980469], [325.0892333984375, 430.8775329589844], [257.6321105957031, 449.5736083984375], [349.4886474609375, 476.8986511230469], [323.65399169921875, 448.1354064941406], [296.3840637207031, 501.34735107421875], [237.53848266601562, 502.7855529785156], [360.970703125, 586.1987915039062], [230.3621826171875, 607.7711791992188], [386.8053283691406, 672.4884033203125], [171.5166015625, 724.2621459960938]]","[[1593.363037109375, 486.82635498046875], [1597.66748046875, 471.0168762207031], [1626.365234375, 427.90008544921875], [1604.8419189453125, 478.2029724121094], [1692.36962890625, 492.57525634765625], [1597.66748046875, 585.9949340820312], [1699.5439453125, 587.4322509765625], [1558.9259033203125, 728.2803955078125], [1655.062744140625, 676.5402221679688], [1487.1820068359375, 705.2847900390625], [1626.365234375, 550.0642700195312], [1626.365234375, 854.7562255859375], [1693.8043212890625, 830.3234252929688], [1468.5284423828125, 984.1066284179688], [1689.499755859375, 874.87744140625], [1715.32763671875, 938.1154174804688], [1715.32763671875, 936.67822265625]]"
