Event frame,Sequence frame,Class ID,Score,Bboxes
874,-10,60,0.510374128818512,"[441.4208679199219, 618.9334716796875, 1560.6768798828125, 1005.9432373046875]"
874,-10,60,0.15168479084968567,"[447.9161682128906, 619.5341796875, 1546.321533203125, 789.0252685546875]"
874,-10,38,0.10663622617721558,"[446.446533203125, 586.417236328125, 516.1074829101562, 624.0249633789062]"
874,-10,60,0.10517803579568863,"[937.4142456054688, 640.127685546875, 1521.4140625, 1020.095703125]"
874,-10,38,0.08887062221765518,"[384.0600891113281, 555.7818603515625, 516.9110717773438, 631.3477783203125]"
874,-10,32,0.04233379289507866,"[1479.0433349609375, 978.426513671875, 1513.7755126953125, 1024.6173095703125]"
874,-10,38,0.03993924707174301,"[456.6463317871094, 550.2492065429688, 522.301025390625, 627.2259521484375]"
874,-10,60,0.031270913779735565,"[484.3278503417969, 644.3564453125, 1070.4114990234375, 994.4423828125]"
874,-10,38,0.030438445508480072,"[407.51324462890625, 609.7017211914062, 490.5521545410156, 671.864501953125]"
874,-10,38,0.025340748950839043,"[368.7423400878906, 576.2138061523438, 496.109130859375, 665.0650634765625]"
874,-10,60,0.02499322220683098,"[1038.547119140625, 738.745361328125, 1454.629638671875, 1002.054443359375]"
874,-10,60,0.014817382209002972,"[928.30712890625, 632.5982666015625, 1547.5721435546875, 779.96630859375]"
874,-10,60,0.010333850048482418,"[449.7629699707031, 621.509521484375, 1080.6568603515625, 759.7069702148438]"
874,-8,60,0.4874221384525299,"[445.28118896484375, 620.2728271484375, 1556.7454833984375, 1006.6182250976562]"
874,-8,60,0.13518382608890533,"[444.44854736328125, 620.6082153320312, 1545.8046875, 785.2674560546875]"
874,-8,38,0.09248482435941696,"[446.4995422363281, 586.5476684570312, 515.4217529296875, 624.1254272460938]"
874,-8,60,0.08529461175203323,"[932.7886352539062, 639.8262939453125, 1524.572265625, 1019.8358154296875]"
874,-8,38,0.06300868839025497,"[381.1307067871094, 556.2421875, 516.73046875, 630.0429077148438]"
874,-8,60,0.04155871644616127,"[484.5623474121094, 640.8333129882812, 1075.369140625, 994.9133911132812]"
874,-8,38,0.03292427211999893,"[454.5980529785156, 550.47705078125, 521.9750366210938, 626.7010498046875]"
874,-8,38,0.025801250711083412,"[362.695556640625, 570.6480102539062, 481.6064147949219, 663.5255737304688]"
874,-8,38,0.024013863876461983,"[404.1835632324219, 610.7317504882812, 489.5575866699219, 672.3462524414062]"
874,-8,32,0.021234065294265747,"[1478.7288818359375, 978.2178344726562, 1514.9178466796875, 1026.54833984375]"
874,-8,60,0.018992841243743896,"[636.2424926757812, 621.670654296875, 937.785888671875, 766.9095458984375]"
874,-8,60,0.01891627535223961,"[1038.54150390625, 740.2835083007812, 1455.4027099609375, 1001.7818603515625]"
874,-8,60,0.01666872389614582,"[450.2275085449219, 621.549072265625, 1076.7183837890625, 759.687744140625]"
874,-8,60,0.013658116571605206,"[932.2747192382812, 632.8519287109375, 1547.640380859375, 779.4852905273438]"
874,-6,60,0.4424956738948822,"[424.7860412597656, 625.8015747070312, 1535.2581787109375, 1019.429931640625]"
874,-6,60,0.1326320618391037,"[444.2352600097656, 620.5647583007812, 1545.1527099609375, 785.930908203125]"
874,-6,38,0.06208912283182144,"[381.7570495605469, 557.1033935546875, 517.1671752929688, 630.56201171875]"
874,-6,38,0.06038162112236023,"[449.978759765625, 587.3748779296875, 514.8683471679688, 626.4249267578125]"
874,-6,60,0.05303270369768143,"[980.0342407226562, 679.378662109375, 1501.8865966796875, 1009.315673828125]"
874,-6,60,0.047362178564071655,"[484.10467529296875, 616.4168090820312, 1062.6519775390625, 1002.8792724609375]"
874,-6,38,0.03556568920612335,"[445.09619140625, 551.5415649414062, 520.904541015625, 628.4015502929688]"
874,-6,38,0.020275700837373734,"[362.81463623046875, 571.8403930664062, 487.1649169921875, 665.3295288085938]"
874,-6,38,0.015078850090503693,"[406.2093200683594, 611.1915283203125, 489.63714599609375, 672.5714111328125]"
874,-6,32,0.014619232155382633,"[1479.0269775390625, 978.062744140625, 1524.1451416015625, 1033.950927734375]"
874,-6,60,0.012575806118547916,"[926.5965576171875, 632.8546752929688, 1547.216064453125, 779.386962890625]"
874,-4,60,0.43050268292427063,"[423.5546569824219, 621.97412109375, 1532.9150390625, 1019.8256225585938]"
874,-4,60,0.1585221290588379,"[433.70562744140625, 621.89697265625, 1579.0076904296875, 814.0147705078125]"
874,-4,60,0.05767213925719261,"[984.4646606445312, 679.3583374023438, 1502.8017578125, 1009.39501953125]"
874,-4,38,0.048741940408945084,"[379.374267578125, 555.1239624023438, 517.7305908203125, 630.9326782226562]"
874,-4,38,0.048374783247709274,"[420.2288818359375, 584.8878173828125, 513.5177612304688, 626.0879516601562]"
874,-4,60,0.04533280059695244,"[484.5064392089844, 616.4530639648438, 1060.19873046875, 1003.156005859375]"
874,-4,38,0.039768118411302567,"[462.81610107421875, 588.4661865234375, 516.4866943359375, 626.48095703125]"
874,-4,38,0.02934269607067108,"[445.0361328125, 550.6331787109375, 520.9329223632812, 628.6887817382812]"
874,-4,38,0.02281743474304676,"[388.4497375488281, 611.3262329101562, 485.71746826171875, 671.024658203125]"
874,-4,38,0.016094205901026726,"[362.35211181640625, 571.5428466796875, 479.3279113769531, 664.9262084960938]"
874,-4,60,0.01138508040457964,"[930.5430297851562, 632.5249633789062, 1545.8521728515625, 779.2841186523438]"
874,-2,60,0.4580766260623932,"[421.8459777832031, 621.760986328125, 1539.6590576171875, 1020.1349487304688]"
874,-2,60,0.15356214344501495,"[448.4215087890625, 618.5355224609375, 1544.1253662109375, 789.1321411132812]"
874,-2,60,0.09542114287614822,"[938.0747680664062, 641.1871948242188, 1518.673095703125, 1020.281982421875]"
874,-2,38,0.07683616131544113,"[368.8042297363281, 568.9147338867188, 512.7597045898438, 628.267578125]"
874,-2,38,0.06440041959285736,"[448.91986083984375, 587.7184448242188, 513.4842529296875, 625.0809326171875]"
874,-2,60,0.04033764824271202,"[482.9839172363281, 614.9657592773438, 1066.151611328125, 1002.2915649414062]"
874,-2,38,0.030200401321053505,"[450.0533142089844, 549.7070922851562, 522.150146484375, 628.2776489257812]"
874,-2,38,0.021973013877868652,"[363.5513916015625, 570.6298828125, 487.4324645996094, 667.765380859375]"
874,-2,60,0.02039659023284912,"[1038.8955078125, 741.6289672851562, 1455.3359375, 1001.6342163085938]"
874,-2,38,0.019586969166994095,"[380.94989013671875, 611.3748779296875, 486.6163330078125, 670.6906127929688]"
874,-2,60,0.014147826470434666,"[447.4405212402344, 620.80615234375, 1079.422607421875, 760.509521484375]"
874,-2,32,0.01231428049504757,"[1478.1336669921875, 976.9802856445312, 1519.4940185546875, 1029.09326171875]"
874,-2,38,0.011796538718044758,"[478.27825927734375, 553.3386840820312, 601.9454345703125, 639.3026733398438]"
874,0,60,0.470966637134552,"[422.9988098144531, 624.813232421875, 1535.5814208984375, 1017.4080200195312]"
874,0,60,0.1791299730539322,"[447.7061767578125, 619.5048217773438, 1541.92236328125, 788.6522827148438]"
874,0,60,0.06099647283554077,"[1047.3577880859375, 740.9656982421875, 1463.790283203125, 1007.4102172851562]"
874,0,60,0.038404449820518494,"[485.9076232910156, 613.72412109375, 1068.95263671875, 1002.4451904296875]"
874,0,38,0.03207061067223549,"[456.0835876464844, 588.5528564453125, 513.7846069335938, 625.0023193359375]"
874,0,38,0.031186344102025032,"[375.8719482421875, 554.9058227539062, 517.7075805664062, 632.4804077148438]"
874,0,38,0.024187680333852768,"[372.30377197265625, 607.2887573242188, 487.6413269042969, 670.7498779296875]"
874,0,38,0.01516045443713665,"[452.14764404296875, 549.3092041015625, 522.14013671875, 628.6917114257812]"
874,0,60,0.012931667268276215,"[446.7563781738281, 620.7052612304688, 1099.750244140625, 760.6195678710938]"
874,0,38,0.012297790497541428,"[406.7313537597656, 587.4996948242188, 511.6287536621094, 626.8414306640625]"
874,0,60,0.012027856893837452,"[932.2804565429688, 632.8693237304688, 1546.7352294921875, 779.863037109375]"
874,2,60,0.448853075504303,"[423.1238708496094, 625.940673828125, 1541.010009765625, 1017.37060546875]"
874,2,60,0.16178783774375916,"[447.20147705078125, 619.2643432617188, 1544.6146240234375, 790.40673828125]"
874,2,60,0.05946187674999237,"[1048.2144775390625, 743.7673950195312, 1464.4029541015625, 1007.2749633789062]"
874,2,60,0.04058998078107834,"[488.0010070800781, 615.79638671875, 1064.4571533203125, 1002.8732299804688]"
